condition,model,T_B,seed,AP,AUC,recovery_latency,memory_norm,memory_similarity_to_A,memory_similarity_to_B
reset_alpha_0.0,TGN,200,47,0.5013752027575888,0.5015826828864389,100,0.0,0.0,0.0
reset_alpha_0.25,TGN,200,47,0.5013022568908934,0.5016609197813063,100,0.25,0.0,0.25
reset_alpha_0.5,TGN,200,47,0.5014222357655184,0.5018428910120457,100,0.5,0.0,0.5
reset_alpha_0.75,TGN,200,47,0.5016279689817875,0.5021618662557001,100,0.75,0.0,0.75
reset_alpha_1.0,TGN,200,47,0.5018809305935596,0.5025091679615168,100,1.0,0.0,1.0
shuffle_memory,TGN,200,47,0.5018015740953095,0.5024213417127225,100,1.0,0.0,0.0
recurrence,TGN-NoMemory,200,47,0.5031313029306248,0.5038098554554161,100,0.0,0.0,0.0
recurrence,GRU-Recurrent,200,47,0.5067838413703607,0.506740184383143,100,1.0,0.0,1.0
recurrence,Current-Only,200,48,0.9999999999999999,1.0,0,0.0,1.0,0.0
recurrence,Historical-Oracle,200,48,1.0,0.9999999999999999,0,0.0,1.0,0.0
reset_alpha_0.0,TGN,200,48,0.5066528356678575,0.5076393774897212,100,0.0,0.0,0.0
reset_alpha_0.25,TGN,200,48,0.5067006560913392,0.5077019742785168,100,0.25,0.0,0.25
reset_alpha_0.5,TGN,200,48,0.5068003265187749,0.5078130565522858,100,0.5,0.0,0.5
reset_alpha_0.75,TGN,200,48,0.5069009246403747,0.5079786827400189,100,0.75,0.0,0.75
reset_alpha_1.0,TGN,200,48,0.5069592265550136,0.5081384882954258,100,1.0,0.0,1.0
shuffle_memory,TGN,200,48,0.5069144279517002,0.5080914804221978,100,1.0,0.0,0.0
