tb,seed,oracle_ap,current_ap,edgebank_b_ap,edgebank_a_ap,retrieval_ap,tgn_ap,nomem_ap,matgn_ap,matgn_auc,matgn_onset_ap,matgn_steady_ap,matgn_attn_a,matgn_attn_b,matgn_gate
50,51,0.7879894372721254,0.7601031921507501,0.7393963630569933,0.7371031725028487,0.7589311840257718,0.6524790158789187,0.6528723961362719,0.6520717748543755,0.6837271412713476,0.6240396632916266,0.6531433065167763,0.5377846956253052,0.2987692952156067,0.8138692768252626
100,42,0.7875025517890413,0.7601285754692756,0.739273413498216,0.7359495754761768,0.760068803723031,0.6520473590949504,0.6516795418977341,0.651439674541626,0.683895147893005,0.6327490305576826,0.6517761183698428,0.41353777050971985,0.4594863951206207,0.8283849115274391
100,43,0.7884431010211717,0.7604188348346721,0.7387592464085174,0.7362527289336691,0.7583311538649489,0.6524713441484822,0.6517748800245015,0.652242025120539,0.6841767466170813,0.6301081497499759,0.6531482754814739,0.41353777050971985,0.4594864249229431,0.6919657442034507
100,44,0.7880779504849098,0.760135951037155,0.7395258034661797,0.7368309043560215,0.7594401061689791,0.6517307989521299,0.6505158958897379,0.6514792155026115,0.6840279943418359,0.6404812397307709,0.6519842531519058,0.41353777050971985,0.4594864249229431,0.8581457855750103
100,45,0.7879147432551059,0.7601232340597102,0.7394117029940508,0.7363818810359045,0.7594058017148022,0.6522691144812109,0.6535664257576648,0.6526932975865671,0.684897849595598,0.6325984460132201,0.6543504370418031,0.41353777050971985,0.4594863951206207,0.7644959128632838
100,46,0.787231466155353,0.7598544217079358,0.7386872378020801,0.7360085412421854,0.7580442383992283,0.6511097616883754,0.6517708592626168,0.6516373211921713,0.683701002615899,0.6370027099866815,0.6500146248721776,0.41353777050971985,0.4594863951206207,0.8867771832310424
100,47,0.7861711016271833,0.7581475936607235,0.7378667620925154,0.7351613481112108,0.7567711457897761,0.6518288137983249,0.6503783980660592,0.6516720153611291,0.6836275449048708,0.6420899506996456,0.6535619073360208,0.41353777050971985,0.4594864249229431,0.8539129337485956
100,48,0.7867083902421684,0.7591937809275993,0.7384135862913805,0.7357491892150049,0.7575431500524658,0.6528498605994612,0.651455345305934,0.6522891116897804,0.6843603476781223,0.6304843205751733,0.651401804181269,0.41353777050971985,0.4594863951206207,0.6835293100804699
100,49,0.7873840233018559,0.76031319557394,0.7387136612870849,0.7357517578439075,0.7589409517255167,0.6534792998928745,0.6522937307284311,0.6527833357358177,0.6850928810561919,0.6406834696003207,0.6528088593081391,0.41353777050971985,0.4594863951206207,0.7428358902736586
100,50,0.7886842136852683,0.7600224503070931,0.7392616229663743,0.7365368630301705,0.7596501677243563,0.6521047677108747,0.6525618959769166,0.6530547939686602,0.6858079807412898,0.6385778779346839,0.6538187142167738,0.41353777050971985,0.4594863951206207,0.9996956161090306
