dataset,condition,method,memory_type,history_window,T_B,seed_or_episode,AP,AUC,delta_vs_current,delta_vs_tgn
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,42,0.7404266483062063,0.7088047455819985,-0.02368304062234028,0.20307758275347365
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,42,0.7429865353889331,0.713907771978088,-0.02112315353961347,0.20563746983620046
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,42,0.7359224834604907,0.7425312385310157,-0.028187205468055865,0.19857341790775807
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,42,0.7909319774209268,0.7879348080217847,0.02682228849238022,0.25358291186819415
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,43,0.7642234508774988,0.7513789762228568,0.0,0.2901588272447634
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,43,0.4740646236327354,0.47768618332448126,-0.2901588272447634,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,43,0.627488317233559,0.6479915718679137,-0.13673513364393974,0.15342369360082364
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,43,0.7391935947207057,0.7460469140016408,-0.025029856156793096,0.2651289710879703
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,43,0.7402611783831058,0.7086187996810176,-0.023962272494392978,0.2661965547503704
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,43,0.7426032924009729,0.7133146218225768,-0.021620158476525875,0.2685386687682375
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,43,0.7346379174773853,0.741231423346112,-0.029585533400113495,0.2605732938446499
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,43,0.7906789720076235,0.7873648771302363,0.026455521130124726,0.3166143483748881
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,44,0.7636110648606491,0.752496478883266,0.0,0.2210061580322351
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,44,0.542604906828414,0.5696787170766338,-0.2210061580322351,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,44,0.532256364821313,0.5388433884514218,-0.23135470003933611,-0.010348542007101003
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,44,0.7352170267135775,0.7410304547235868,-0.028394038147071643,0.19261211988516347
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,44,0.7405676601196425,0.7075877653207053,-0.023043404741006634,0.19796275329122848
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,44,0.7429040534853919,0.7130669794605233,-0.02070701137525721,0.2002991466569779
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,44,0.7343721108562906,0.7410282373285892,-0.029238954004358497,0.19176720402787661
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,44,0.7909445337807696,0.7882755150187712,0.02733346892012045,0.24833962695235556
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,45,0.7635124461164953,0.7513278695343741,0.0,0.22531400568531246
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,45,0.5381984404311828,0.5348872661387959,-0.22531400568531246,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,45,0.6360753359795397,0.6636061905521098,-0.12743711013695558,0.09787689554835688
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,45,0.7337425831548245,0.739721435156004,-0.029769862961670723,0.19554414272364173
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,45,0.739168142576071,0.7071005237469263,-0.024344303540424272,0.20096970214488818
