condition,seed,edge_jaccard_overlap,method,AP,delta_vs_current,delta_vs_edgebank
Control_Non_Recurrent_A_B_C,46,0.9545525534905513,Historical_Retrieval,0.7037907403919708,-0.0598625715514004,-0.030918626776099245
Control_Non_Recurrent_A_B_C,46,0.9545525534905513,Random_Retrieval,0.7048102110720937,-0.05884310087127742,-0.029899156095976265
Control_Non_Recurrent_A_B_C,46,0.9545525534905513,Historical_Oracle,0.7399003492109957,-0.023752962732375482,0.005190982042925674
Control_Non_Recurrent_A_B_C,47,0.9526858213616489,Current_Only,0.7647793935303668,0.0,0.029620058855976183
Control_Non_Recurrent_A_B_C,47,0.9526858213616489,Continuous_TGN,0.49883221781688697,-0.26594717571347987,-0.23632711685750368
Control_Non_Recurrent_A_B_C,47,0.9526858213616489,EdgeBank_AllHistory,0.7394447631374887,-0.025334630392878088,0.0042854284630980954
Control_Non_Recurrent_A_B_C,47,0.9526858213616489,EdgeBank_Bounded,0.7351593346743907,-0.029620058855976183,0.0
Control_Non_Recurrent_A_B_C,47,0.9526858213616489,Historical_Retrieval,0.7038567584725259,-0.0609226350578409,-0.03130257620186472
Control_Non_Recurrent_A_B_C,47,0.9526858213616489,Random_Retrieval,0.7038189647298565,-0.060960428800510336,-0.03134036994453415
Control_Non_Recurrent_A_B_C,47,0.9526858213616489,Historical_Oracle,0.7396009802918537,-0.02517841323851311,0.004441645617463075
Control_Non_Recurrent_A_B_C,48,0.9541306918323182,Current_Only,0.763672720135136,0.0,0.026948889019397737
Control_Non_Recurrent_A_B_C,48,0.9541306918323182,Continuous_TGN,0.4984274210426385,-0.2652452990924975,-0.23829641007309976
Control_Non_Recurrent_A_B_C,48,0.9541306918323182,EdgeBank_AllHistory,0.7403340371943354,-0.023338682940800548,0.003610206078597189
Control_Non_Recurrent_A_B_C,48,0.9541306918323182,EdgeBank_Bounded,0.7367238311157382,-0.026948889019397737,0.0
Control_Non_Recurrent_A_B_C,48,0.9541306918323182,Historical_Retrieval,0.7043924749548374,-0.05928024518029862,-0.03233135616090088
Control_Non_Recurrent_A_B_C,48,0.9541306918323182,Random_Retrieval,0.7043185070292894,-0.05935421310584654,-0.032405324086448806
Control_Non_Recurrent_A_B_C,48,0.9541306918323182,Historical_Oracle,0.7392777721967174,-0.024394947938418565,0.002553941080979172
Control_Non_Recurrent_A_B_C,49,0.9540709346419808,Current_Only,0.7634147511135609,0.0,0.027983433500609944
Control_Non_Recurrent_A_B_C,49,0.9540709346419808,Continuous_TGN,0.5001885041937906,-0.26322624691977037,-0.23524281341916042
Control_Non_Recurrent_A_B_C,49,0.9540709346419808,EdgeBank_AllHistory,0.7391588897281314,-0.024255861385429567,0.0037275721151803776
Control_Non_Recurrent_A_B_C,49,0.9540709346419808,EdgeBank_Bounded,0.735431317612951,-0.027983433500609944,0.0
Control_Non_Recurrent_A_B_C,49,0.9540709346419808,Historical_Retrieval,0.7053013473739892,-0.058113403739571745,-0.0301299702389618
Control_Non_Recurrent_A_B_C,49,0.9540709346419808,Random_Retrieval,0.7036337044144032,-0.059781046699157736,-0.03179761319854779
Control_Non_Recurrent_A_B_C,49,0.9540709346419808,Historical_Oracle,0.7394818166149266,-0.023932934498634317,0.004050499001975627
Control_Non_Recurrent_A_B_C,50,0.9546407853636769,Current_Only,0.7632348548758557,0.0,0.02823701588196348
Control_Non_Recurrent_A_B_C,50,0.9546407853636769,Continuous_TGN,0.5003246085088933,-0.2629102463669625,-0.234673230484999
Control_Non_Recurrent_A_B_C,50,0.9546407853636769,EdgeBank_AllHistory,0.7391106562691976,-0.024124198606658154,0.004112817275305325
Control_Non_Recurrent_A_B_C,50,0.9546407853636769,EdgeBank_Bounded,0.7349978389938923,-0.02823701588196348,0.0
Control_Non_Recurrent_A_B_C,50,0.9546407853636769,Historical_Retrieval,0.7039279632319129,-0.05930689164394287,-0.031069875761979393
Control_Non_Recurrent_A_B_C,50,0.9546407853636769,Random_Retrieval,0.7035739409464334,-0.0596609139294223,-0.03142389804745882
Control_Non_Recurrent_A_B_C,50,0.9546407853636769,Historical_Oracle,0.7394259806589915,-0.023808874216864284,0.0044281416650991945
Control_Non_Recurrent_A_B_C,51,0.9535578853446353,Current_Only,0.7629759883490776,0.0,0.028003775445145984
Control_Non_Recurrent_A_B_C,51,0.9535578853446353,Continuous_TGN,0.4998384596619422,-0.26313752868713547,-0.23513375324198948
Control_Non_Recurrent_A_B_C,51,0.9535578853446353,EdgeBank_AllHistory,0.7387698084733267,-0.02420617987575091,0.0037975955693950736
Control_Non_Recurrent_A_B_C,51,0.9535578853446353,EdgeBank_Bounded,0.7349722129039317,-0.028003775445145984,0.0
Control_Non_Recurrent_A_B_C,51,0.9535578853446353,Historical_Retrieval,0.7048889218286019,-0.058087066520475794,-0.03008329107532981
Control_Non_Recurrent_A_B_C,51,0.9535578853446353,Random_Retrieval,0.7038197333350502,-0.05915625501402744,-0.031152479568881453
Control_Non_Recurrent_A_B_C,51,0.9535578853446353,Historical_Oracle,0.7389367118095659,-0.024039276539511767,0.003964498905634217
