T_B,seed,k_A,TGN_AP,TGN_NoMemory_AP,Current_Only_AP,recovery_gain_vs_k0
100,48,10,0.5039613176005434,0.5341463255763439,0.7647238845752219,-0.0008322218809960757
100,48,25,0.5040709078902148,0.5344420477880347,0.7653602025874324,-0.000722631591324685
100,49,0,0.5018057394080657,0.5422964542310992,0.7639252689680747,0.0
100,49,1,0.5018699679651729,0.542190550501988,0.7641237861511696,6.422855710719322e-05
100,49,5,0.5019712335081439,0.5420282037980662,0.7642335734799507,0.00016549410007815624
100,49,10,0.5020442502970105,0.5420580025537525,0.7644626378052639,0.00023851088894477623
100,49,25,0.5018622003476968,0.5423305818809371,0.7655960993806503,5.646093963107557e-05
100,50,0,0.5145373835995258,0.5640346498668882,0.7642413702698763,0.0
100,50,1,0.5144723655053632,0.5641578707883745,0.7643274810401287,-6.501809416259441e-05
100,50,5,0.5143519644058105,0.5644220207494212,0.7645333628714845,-0.00018541919371528603
100,50,10,0.5143900457220636,0.5643173473575541,0.7646568782114738,-0.00014733787746223914
100,50,25,0.5144909976842913,0.5639864407734287,0.7656501763681753,-4.6385915234536945e-05
100,51,0,0.5521493726534863,0.521754157159273,0.7643084815544474,0.0
100,51,1,0.5525392377606538,0.521783692485979,0.7646013438032115,0.00038986510716754186
100,51,5,0.5527984109975808,0.5217738251428903,0.7647562380917623,0.0006490383440944658
100,51,10,0.5528521175913127,0.5217913229599778,0.764905301135917,0.000702744937826405
100,51,25,0.5535966944851303,0.5217969876172375,0.765398927004164,0.0014473218316439773
200,42,0,0.501460519760082,0.5013849460875661,0.7627221740459127,0.0
200,42,1,0.5014744702609777,0.5007801232645837,0.762873952182078,1.3950500895698603e-05
200,42,5,0.5012414197336752,0.5004164060908267,0.7632989460974273,-0.00021910002640679327
200,42,10,0.5012096070183767,0.5004931484057821,0.7635746358031636,-0.0002509127417053003
200,42,25,0.5013271283380094,0.5006636690094424,0.7639073939926653,-0.0001333914220725818
200,43,0,0.505407560521025,0.503695478225086,0.7643512596276648,0.0
200,43,1,0.504739342688809,0.5031125855389076,0.7645480645117104,-0.0006682178322159338
200,43,5,0.5044159788698691,0.5027293993856914,0.7648593541054086,-0.0009915816511558706
200,43,10,0.5043081025935795,0.5026722675810845,0.7649915857306392,-0.0010994579274454797
200,43,25,0.5040186646394185,0.5023543202712398,0.7652350678015779,-0.0013888958816065111
200,44,0,0.5040663254498602,0.5039560002245543,0.7634961130285709,0.0
200,44,1,0.5035481172281568,0.5034724586353866,0.7637731444414889,-0.0005182082217033424
200,44,5,0.5034947317323746,0.5033607712141943,0.7639378065973347,-0.0005715937174856078
200,44,10,0.5033971503165924,0.5033064399945347,0.7642890131570893,-0.0006691751332678075
200,44,25,0.5032617812380873,0.5027703047632341,0.7652663985998802,-0.0008045442117728951
200,45,0,0.503418311113122,0.5027838402121548,0.7634851900358886,0.0
200,45,1,0.5027922083265711,0.5022156340060693,0.7638544441360078,-0.0006261027865508417
200,45,5,0.5023812662520158,0.5019535578912191,0.7641760342825195,-0.0010370448611061178
200,45,10,0.5025213753364018,0.5021862616566529,0.7644132031182649,-0.0008969357767201203
200,45,25,0.5024055144850568,0.5019268494115026,0.7656769911815788,-0.0010127966280651934
200,46,0,0.5019505183010984,0.5002334487668763,0.7632222202582891,0.0
200,46,1,0.5013363091795696,0.4996652666217731,0.7634112443186278,-0.0006142091215287637
200,46,5,0.5009409658947388,0.49952078029085084,0.76370051253598,-0.0010095524063595818
200,46,10,0.5007799627566745,0.4996271306375446,0.7637154693546393,-0.0011705555444239124
200,46,25,0.5003399328063785,0.4995251831102205,0.7645813014950729,-0.0016105854947199294
200,47,0,0.5016612326852782,0.5033603128608755,0.7640379571509038,0.0
200,47,1,0.5016563766198804,0.5027727817233464,0.7643457676305606,-4.856065397795817e-06
200,47,5,0.501639066785707,0.50236068537061,0.7645337299022653,-2.216589957115822e-05
200,47,10,0.5016897297534079,0.5023475471390796,0.7647887760097075,2.8497068129684777e-05
200,47,25,0.5014948104647855,0.5025770744802569,0.7657896443656476,-0.00016642222049267907
200,48,0,0.5021383891901936,0.5034590548656783,0.7635797036381338,0.0
200,48,1,0.5016201398695351,0.5029543626939559,0.7638229076365757,-0.0005182493206584704
200,48,5,0.5013978895685363,0.5026955940106165,0.7637522413561331,-0.0007404996216573423
200,48,10,0.5015407513570624,0.5028675247316247,0.7637801891344038,-0.0005976378331311594
200,48,25,0.5014970929861213,0.5026718887214752,0.7645267233103281,-0.0006412962040722725
200,49,0,0.5019745398138108,0.5036303337922302,0.7641861653786972,0.0
200,49,1,0.5014451826473211,0.5031869862197877,0.7643711309932399,-0.000529357166489719
200,49,5,0.5011207644794833,0.5028384024952826,0.7644159831149803,-0.0008537753343275112
200,49,10,0.500946728382934,0.5026210042307773,0.764447284433053,-0.0010278114308768238
200,49,25,0.5008702092791026,0.5027146983242707,0.7658786955854329,-0.0011043305347081533
200,50,0,0.5034453885721852,0.504086091508176,0.764379981081582,0.0
200,50,1,0.5027804669858815,0.5034494308193114,0.7645947722722433,-0.0006649215863037128
200,50,5,0.5023015479536137,0.5029954787711102,0.764763458522901,-0.0011438406185715344
200,50,10,0.5021435460260103,0.5028797622827251,0.7651451471054402,-0.0013018425461749361
200,50,25,0.5024006079148438,0.502974543321453,0.7657228208096571,-0.001044780657341482
200,51,0,0.5022838666570422,0.5057837797808491,0.7649177502679898,0.0
200,51,1,0.5016890642512679,0.505219815858938,0.7651186708268531,-0.0005948024057742529
200,51,5,0.5016434251889361,0.5050427982768095,0.7653208917857803,-0.0006404414681060455
200,51,10,0.5015721163375567,0.5051177332811245,0.765633447711406,-0.0007117503194854491
200,51,25,0.502262368746251,0.5055975224929115,0.7665095737884204,-2.149791079120167e-05
